x,y,z
-1.67424,-0.62746,2.23823
-1.64082,-0.62281,2.24051
-1.63911,-0.63416,2.23836
-1.63857,-0.64598,2.23771
-1.70139,-0.65418,2.22846
-1.70320,-0.64269,2.23063
-1.70375,-0.63072,2.23127
-1.70179,-0.61784,2.22884
-1.59886,-0.64043,2.24094
-1.59713,-0.65167,2.23871
-1.60105,-0.61745,2.24372
-1.59997,-0.62894,2.24235
-1.53402,-0.61923,2.24306
-1.53411,-0.63102,2.24322
-1.56319,-0.63464,2.23928
-1.56485,-0.62349,2.24147
-1.56323,-0.64651,2.23939
-1.53245,-0.64209,2.24099
-1.59973,-0.60505,2.24196
-1.60134,-0.59379,2.24403
-1.59996,-0.58143,2.24218
-1.56966,-0.58998,2.24778
-1.53759,-0.58550,2.24781
-1.53720,-0.59705,2.24731
-1.56648,-0.61233,2.24361
-1.56809,-0.60116,2.24572
-1.53562,-0.60815,2.24520
-1.49698,-0.60326,2.24861
-1.49795,-0.59203,2.24993
-1.45879,-0.58471,2.23995
-1.46286,-0.59791,2.24583
-1.49728,-0.63841,2.24915
-1.49507,-0.64916,2.24608
-1.53076,-0.65315,2.23873
-1.60150,-0.57017,2.24416
-1.60272,-0.54701,2.24567
-1.60124,-0.55827,2.24377
-1.56688,-0.54204,2.24391
-1.56543,-0.55320,2.24201
-1.56712,-0.57725,2.24434
-1.56805,-0.56586,2.24554
-1.53161,-0.57153,2.23961
-1.60417,-0.53573,2.24753
-1.59905,-0.52226,2.24079
-1.60044,-0.51102,2.24257
-1.56911,-0.51948,2.24681
-1.56929,-0.50791,2.24702
-1.53367,-0.50285,2.24219
-1.56772,-0.53066,2.24499
-1.49462,-0.52153,2.24502
-1.49327,-0.53251,2.24316
-1.52960,-0.53603,2.23674
-1.53098,-0.52498,2.23860
-1.49481,-0.51015,2.24524
-1.53118,-0.51353,2.23883
-1.46380,-0.51808,2.24691
-1.46454,-0.50697,2.24793
-1.49586,-0.54495,2.24683
-1.49671,-0.55680,2.24807
-1.52789,-0.55852,2.23449
-1.52818,-0.54707,2.23485
-1.46169,-0.56295,2.24403
-1.46025,-0.57384,2.24201
-1.39064,-0.56464,2.24220
-1.41949,-0.56823,2.24113
-1.42089,-0.55745,2.24315
-1.42226,-0.54666,2.24514
-1.39227,-0.54278,2.24457
-1.39093,-0.55349,2.24259
-1.36377,-0.53997,2.24861
-1.36246,-0.55063,2.24662
-1.36271,-0.56195,2.24705
-1.35976,-0.57192,2.24253
-1.42470,-0.53628,2.24870
-1.39542,-0.52152,2.24923
-1.39413,-0.53226,2.24733
-1.42472,-0.50240,2.24862
-1.36010,-0.50509,2.24282
-1.35887,-0.51572,2.24096
-1.36028,-0.52740,2.24317
-1.32474,-0.53479,2.24637
-1.32495,-0.52380,2.24666
-1.32617,-0.51324,2.24856
-1.32476,-0.50164,2.24628
-1.29488,-0.50930,2.24666
-1.26200,-0.50453,2.24082
-1.29554,-0.53156,2.24781
-1.29471,-0.52021,2.24642
-1.32448,-0.56803,2.24607
-1.32424,-0.55679,2.24566
-1.32347,-0.54535,2.24439
-1.29558,-0.55366,2.24795
-1.29685,-0.54315,2.24998
-1.26724,-0.55052,2.24972
-1.29551,-0.57579,2.24792
-1.29428,-0.56415,2.24588
-1.26468,-0.57137,2.24554
-1.42146,-0.64922,2.24432
-1.42305,-0.63842,2.24663
-1.39104,-0.64440,2.24308
-1.39106,-0.65587,2.24315
-1.42408,-0.62737,2.24811
-1.39253,-0.62221,2.24524
-1.39099,-0.63293,2.24297
-1.36301,-0.61853,2.24773
-1.36204,-0.62943,2.24627
-1.36209,-0.64084,2.24639
-1.36422,-0.65329,2.24971
-1.42507,-0.61631,2.24954
-1.39403,-0.61148,2.24747
-1.42207,-0.59209,2.24503
-1.42189,-0.58060,2.24472
-1.35996,-0.58324,2.24288
-1.35854,-0.59387,2.24074
-1.36185,-0.60666,2.24589
-1.32615,-0.61362,2.24891
-1.32603,-0.60232,2.24867
-1.32589,-0.59103,2.24840
-1.32520,-0.57952,2.24726
-1.29518,-0.58676,2.24743
-1.26537,-0.58273,2.24673
-1.29533,-0.59798,2.24772
-1.26616,-0.60528,2.24813
-1.32428,-0.64658,2.24606
-1.32579,-0.63602,2.24841
-1.32676,-0.62519,2.24991
-1.29208,-0.62992,2.24256
-1.28960,-0.63987,2.23856
-1.28305,-0.64769,2.22796
-1.26388,-0.64875,2.19680
-1.59606,-0.72342,2.23755
-1.59987,-0.70095,2.24246
-1.59798,-0.71219,2.24002
-1.56703,-0.70792,2.24466
-1.56831,-0.69649,2.24633
-1.53170,-0.70099,2.24016
-1.56265,-0.72996,2.23889
-1.56457,-0.71882,2.24141
-1.58593,-0.73079,2.22434
-1.59704,-0.68762,2.23871
-1.59654,-0.66339,2.23799
-1.59710,-0.67563,2.23876
-1.56787,-0.67232,2.24566
-1.56267,-0.65815,2.23868
-1.56955,-0.68504,2.24795
-1.53244,-0.67756,2.24110
-1.53237,-0.68940,2.24104
-1.49220,-0.68311,2.24217
-1.49155,-0.69460,2.24131
-1.49395,-0.66039,2.24456
-1.49337,-0.67188,2.24378
-1.53076,-0.66496,2.23876
-1.46325,-0.66775,2.24663
-1.46492,-0.65684,2.24899
-1.46155,-0.67865,2.24424
-1.45982,-0.68953,2.24180
-1.48850,-0.71676,2.23711
-1.48665,-0.72769,2.23455
-1.52872,-0.71151,2.23614
-1.49032,-0.70582,2.23962
-1.45917,-0.70095,2.24091
-1.45739,-0.71181,2.23839
-1.52515,-0.72171,2.23130
-1.51928,-0.73076,2.22333
-1.45284,-0.72127,2.23190
-1.53368,-0.72797,2.20020
-1.49810,-0.73209,2.19445
-1.46029,-0.72614,2.19759
-1.41363,-0.70329,2.23297
-1.41026,-0.71318,2.22804
-1.38286,-0.69779,2.23094
-1.41752,-0.69364,2.23867
-1.41922,-0.68287,2.24114
-1.42090,-0.67209,2.24357
-1.42146,-0.66078,2.24437
-1.36264,-0.66396,2.24731
-1.36103,-0.67461,2.24487
-1.38944,-0.66658,2.24076
-1.38614,-0.68795,2.23585
-1.38780,-0.67727,2.23832
-1.35312,-0.68200,2.23270
-1.32275,-0.65714,2.24366
-1.31708,-0.66555,2.23470
-1.36470,-0.69978,2.20358
-1.42524,-0.71878,2.19232
-1.34050,-0.68680,2.21325
-1.29090,-0.66304,2.19312
-1.59539,-0.73523,2.18310
-1.60078,-0.74003,2.14718
-1.57086,-0.73549,2.15191
-1.52290,-0.73600,2.14206
-1.55070,-0.72602,2.17833
-1.51911,-0.73266,2.18075
-1.44786,-0.73140,2.18018
-1.60401,-0.72965,2.15117
-1.52660,-0.72614,2.14686
-1.46392,-0.72651,2.14782
-1.48618,-0.72795,2.13678
-1.37300,-0.70518,2.17304
-1.39057,-0.71214,2.14259
-1.72403,-0.70926,2.11927
-1.71560,-0.71773,2.10971
-1.66896,-0.72006,2.10597
-1.68241,-0.71539,2.07196
-1.63629,-0.71737,2.06783
-1.64884,-0.75584,2.12350
-1.64669,-0.76682,2.12097
-1.64451,-0.77778,2.11840
-1.65878,-0.71681,2.04508
-1.56737,-0.78469,2.06561
-1.56954,-0.77412,2.06823
-1.56516,-0.79524,2.06296
-1.54216,-0.73532,2.07422
-1.53927,-0.73198,2.11172
-1.46820,-0.73036,2.11278
-1.44054,-0.72598,2.11593
-1.49303,-0.73269,2.10304
-1.58666,-0.72416,2.08892
-1.55376,-0.72939,2.08864
-1.57126,-0.72852,2.07018
-1.51186,-0.73007,2.07686
-1.46610,-0.73045,2.06786
-1.37606,-0.70527,2.07942
-1.52756,-0.73962,2.05607
-1.52551,-0.75003,2.05355
-1.51329,-0.75526,2.03837
-1.48485,-0.73923,2.04255
-1.53868,-0.73577,2.03051
-1.53661,-0.74613,2.02802
-1.49452,-0.75694,2.01502
-1.46282,-0.73914,2.01454
-1.61178,-0.71793,2.03922
-1.54071,-0.72540,2.03296
-1.48685,-0.72897,2.04506
-1.43022,-0.72216,2.06203
-1.38671,-0.70915,2.04247
-1.41951,-0.71763,2.00698
-1.22507,-0.61723,2.22740
-1.23623,-0.61196,2.24640
-1.23759,-0.60159,2.24868
-1.23532,-0.57847,2.24472
-1.20077,-0.59620,2.24593
-1.17473,-0.58278,2.24955
-1.16782,-0.59006,2.23715
-1.19275,-0.60297,2.23188
-1.24258,-0.63746,2.20902
-1.20414,-0.61716,2.19173
-1.17134,-0.60250,2.19427
-1.14728,-0.58998,2.20018
-1.23661,-0.56811,2.24687
-1.23688,-0.55729,2.24730
-1.23812,-0.54693,2.24937
-1.20293,-0.55364,2.24954
-1.20027,-0.54155,2.24484
-1.23492,-0.50205,2.24374
-1.19987,-0.50900,2.24400
-1.17380,-0.51754,2.24761
-1.19874,-0.51926,2.24206
-1.19952,-0.53039,2.24347
-1.17457,-0.52863,2.24904
-1.14016,-0.53549,2.24916
-1.14035,-0.52489,2.24947
-1.14006,-0.51408,2.24888
-1.13346,-0.56425,2.23686
-1.13810,-0.54518,2.24538
-1.13464,-0.55415,2.23900
-1.13043,-0.57337,2.23126
-1.09092,-0.51125,2.20775
-1.09061,-0.50071,2.20711
-1.08877,-0.53102,2.20375
-1.08986,-0.52114,2.20577
-1.08767,-0.54088,2.20169
-1.08157,-0.54813,2.19013
-1.10394,-0.56993,2.18210
-1.03934,-0.50612,2.15890
-1.03831,-0.51571,2.15693
-1.06059,-0.54732,2.15019
-1.03239,-0.52273,2.14539
-1.02866,-0.53083,2.13816
-1.09811,-0.57407,2.11166
-1.05362,-0.55303,2.08867
-0.98205,-0.51548,2.04710
-1.00629,-0.52796,2.04678
0.94554,-0.52599,2.25228
0.94454,-0.53576,2.25019
0.94748,-0.50641,2.25635
0.94652,-0.51621,2.25433
-0.47571,-0.66157,2.23700
-0.43226,-0.65792,2.23507
-0.40966,-0.65640,2.23493
-0.47444,-0.67963,2.23129
-0.47200,-0.68579,2.22003
-0.47508,-0.67061,2.23417
-0.45284,-0.66814,2.23148
-0.43187,-0.66722,2.23317
-0.45191,-0.65671,2.22685
-0.40912,-0.66537,2.23210
-0.40858,-0.67432,2.22922
-0.45223,-0.67713,2.22861
-0.43112,-0.67588,2.22937
-0.45162,-0.68610,2.22570
-0.45081,-0.69475,2.22182
-0.42976,-0.69346,2.22257
-0.43035,-0.68452,2.22552
